"relage" "groep" "ztheta" "zthe_taal" "zcito"
"13" 1 TRUE 47.8038297718204 48.1298273921396 NA
"14" 2 TRUE 47.7180756690501 47.9009795467904 NA
"15" 3 TRUE 48.1984137472906 48.4466112327852 NA
"16" 4 TRUE 48.5698605659094 48.5905516879442 NA
"17" 5 TRUE 49.1204783231666 49.2939901386261 NA
"18" 6 TRUE 49.7280943823185 49.899565241674 NA
"19" 7 TRUE 50.3667269535559 50.3144071774217 NA
"20" 8 TRUE 50.9579746702945 50.9943598331735 NA
"21" 9 TRUE 51.7018095384615 51.3774755852347 NA
"22" 10 TRUE 52.4526912914674 52.0195744597951 NA
"23" 11 TRUE 52.8763749936928 52.4825271869308 NA
"24" 12 TRUE 52.4444052728941 52.2452452096452 NA
